job_id,actor_id,event,language,time_spent,org,ds
21,1001,skip,English,15,A,11/30/2020
22,1006,transfer,Arabic,25,B,11/30/2020
23,1003,decision,Persian,20,C,11/29/2020
23,1005,transfer,Persian,22,D,11/28/2020
25,1002,decision,Hindi,11,B,11/28/2020
11,1007,decision,French,104,D,11/27/2020
23,1004,skip,Persian,56,A,11/26/2020
20,1003,transfer,Italian,45,C,11/25/2020
1,1030,decision,Arabic,89,C,11/26/2020
2,1045,transfer,French,14,C,11/26/2020
3,1048,decision,Italian,17,A,11/5/2020
4,1037,decision,Hindi,99,A,11/25/2020
5,1029,skip,French,118,D,11/27/2020
6,1006,skip,Arabic,57,C,11/10/2020
7,1035,decision,English,98,C,11/23/2020
8,1012,decision,English,78,B,11/12/2020
9,1032,transfer,Persian,49,C,11/20/2020
10,1038,transfer,French,46,D,11/11/2020
11,1016,decision,Persian,93,B,11/1/2020
12,1016,decision,Arabic,108,D,11/12/2020
13,1037,skip,Italian,60,C,11/9/2020
14,1016,skip,Persian,101,A,11/15/2020
15,1031,skip,Italian,74,C,11/22/2020
16,1006,decision,Arabic,66,B,11/26/2020
17,1029,skip,French,85,A,11/16/2020
18,1001,transfer,French,108,D,11/16/2020
19,1036,skip,Hindi,18,C,11/12/2020
20,1043,decision,French,98,C,11/16/2020
21,1032,transfer,Italian,66,C,11/9/2020
22,1002,skip,French,67,C,11/20/2020
23,1032,decision,Arabic,64,B,11/13/2020
24,1050,skip,Italian,51,A,11/22/2020
25,1007,decision,French,118,A,11/27/2020
26,1047,transfer,English,90,C,11/12/2020
27,1025,decision,Persian,112,A,11/18/2020
28,1029,skip,Persian,40,D,11/18/2020
29,1012,decision,Persian,22,C,11/18/2020
30,1034,skip,English,83,A,11/30/2020
31,1016,decision,Italian,89,B,11/4/2020
32,1042,decision,English,12,C,11/6/2020
33,1022,decision,French,82,D,11/23/2020
34,1046,decision,English,116,D,11/6/2020
35,1037,skip,Persian,105,A,11/11/2020
36,1010,skip,Hindi,37,D,11/24/2020
37,1042,skip,French,44,D,11/12/2020
38,1038,transfer,Persian,38,D,11/13/2020
39,1043,transfer,Italian,57,A,11/24/2020
40,1048,skip,English,55,D,11/11/2020
41,1014,transfer,Hindi,34,B,11/7/2020
42,1034,decision,Arabic,109,C,11/1/2020
43,1026,skip,Hindi,20,D,11/27/2020
44,1002,skip,Hindi,119,D,11/1/2020
45,1042,decision,French,16,B,11/23/2020
46,1011,skip,French,13,A,11/8/2020
47,1024,skip,French,36,D,11/16/2020
48,1017,decision,Hindi,36,B,11/1/2020
49,1014,decision,Arabic,26,C,11/30/2020
50,1002,decision,Italian,39,D,11/13/2020
51,1025,skip,Arabic,41,A,11/26/2020
52,1035,decision,English,17,D,11/14/2020
53,1021,decision,Hindi,108,B,11/4/2020
54,1035,skip,Persian,94,C,11/13/2020
55,1027,skip,Hindi,69,B,11/20/2020
56,1043,decision,Arabic,41,B,11/11/2020
57,1048,transfer,Arabic,29,D,11/21/2020
58,1046,skip,English,58,C,11/4/2020
59,1019,transfer,French,44,C,11/10/2020
60,1018,skip,French,69,B,11/21/2020
61,1030,decision,Italian,86,A,11/7/2020
62,1020,decision,French,82,C,11/6/2020
63,1027,transfer,Persian,78,A,11/30/2020
64,1003,transfer,Arabic,91,B,11/9/2020
65,1025,skip,Arabic,76,B,11/21/2020
66,1033,transfer,French,110,A,11/20/2020
67,1011,transfer,Persian,42,B,11/16/2020
68,1021,decision,Hindi,16,A,11/27/2020
69,1042,decision,Hindi,92,B,11/12/2020
70,1004,transfer,Persian,70,C,11/23/2020
71,1029,decision,Italian,76,D,11/12/2020
72,1038,transfer,Arabic,10,D,11/7/2020
73,1025,transfer,English,31,A,11/18/2020
74,1007,transfer,Persian,31,B,11/2/2020
75,1016,decision,French,79,C,11/17/2020
76,1021,transfer,Persian,76,B,11/2/2020
77,1001,skip,Italian,40,B,11/16/2020
78,1007,transfer,Italian,78,C,11/5/2020
79,1007,decision,French,76,B,11/23/2020
80,1025,skip,English,19,B,11/3/2020
81,1001,transfer,Persian,21,C,11/17/2020
82,1024,transfer,Arabic,17,B,11/6/2020
83,1006,decision,Arabic,67,D,11/4/2020
84,1015,decision,French,30,B,11/29/2020
